18.png;Fde;1
14.png;Pcieoe;1
16.png;0;0
17.png;;1
11.png;0;0
20.png;J;1
15.png;0;0
7.png;0;0
2.png;eae——;1
3.png;0;0
1.png;bi;1
4.png;ay;1
6.png;0;0
8.png;;1
5.png;;1
10.png;ral| |Gi;1
19.png;;1
13.png;0;0
9.png;0;0
12.png;0;0
